,type,de,para,zmed,prec,i_de,i_para
1208,0,4862,-1,0.0,0.0,314,-9
1207,0,4869,-1,0.0,0.0,313,-9
1328,0,6665,-1,0.0,0.0,1249,-9
1269,0,6017,-1,0.0,0.0,958,-9
1380,0,7271,-1,0.0,0.0,428,-9
1378,0,7257,-1,0.0,0.0,427,-9
1352,0,6990,-1,0.0,0.0,1259,-9
1351,0,6950,-1,0.0,0.0,788,-9
1385,0,7398,-1,0.0,0.0,1295,-9
1164,0,3344,-1,0.0,0.0,270,-9
1408,0,7911,-1,0.0,0.0,1323,-9
1415,0,7992,-1,0.0,0.0,1328,-9
1417,0,8062,-1,0.0,0.0,1344,-9
1449,0,8409,-1,0.0,0.0,1380,-9
1209,0,5037,-1,0.0,0.0,960,-9
1451,0,8585,-1,0.0,0.0,1394,-9
1464,0,8886,-1,0.0,0.0,1399,-9
1472,0,9357,-1,0.0,0.0,1413,-9
1105,0,829,-1,0.0,0.0,470,-9
1106,0,831,-1,0.0,0.0,967,-9
1496,0,10009,-1,0.0,0.0,455,-9
1502,0,10138,-1,0.0,0.0,442,-9
1483,0,9865,-1,0.0,0.0,1424,-9
1503,0,10282,-1,0.0,0.0,1441,-9
1147,0,1273,-1,0.0,0.0,1148,-9
1512,0,41421,-1,0.0,0.0,1454,-9
1115,0,945,-1,0.0,0.0,1054,-9
1508,0,41413,-1,0.0,0.0,1450,-9
1509,0,41414,-1,0.0,0.0,1451,-9
1482,0,9992,-1,0.0,0.0,1056,-9
1484,0,9995,-1,0.0,0.0,1426,-9
1486,0,9997,-1,0.0,0.0,1428,-9
1116,0,947,-1,0.0,0.0,668,-9
1482,0,9994,-1,0.0,0.0,1425,-9
1483,0,9996,-1,0.0,0.0,1427,-9
1132,0,1034,-1,0.0,0.0,1055,-9
1475,0,9533,-1,0.0,0.0,677,-9
1127,0,991,-1,0.0,0.0,1057,-9
1485,0,10070,-1,0.0,0.0,1432,-9
1130,0,1032,-1,0.0,0.0,1143,-9
1499,0,41821,-1,0.0,0.0,1456,-9
1499,0,41823,-1,0.0,0.0,1458,-9
1498,0,41820,-1,0.0,0.0,1455,-9
1531,0,44091,-1,0.0,0.0,1483,-9
1530,0,44090,-1,0.0,0.0,1482,-9
1230,0,5531,-1,0.0,0.0,875,-9
1538,0,44118,-1,0.0,0.0,212,-9
1228,0,5511,-1,0.0,0.0,403,-9
1228,0,5525,-1,0.0,0.0,874,-9
1242,0,5685,-1,0.0,0.0,211,-9
1526,0,44092,-1,0.0,0.0,1484,-9
1526,0,44093,-1,0.0,0.0,1485,-9
1526,0,44094,-1,0.0,0.0,1486,-9
1528,0,44106,-1,0.0,0.0,1491,-9
1528,0,44107,-1,0.0,0.0,1492,-9
1528,0,44110,-1,0.0,0.0,1495,-9
1554,0,44656,-1,0.0,0.0,1527,-9
1463,0,9469,-1,0.0,0.0,1417,-9
1215,0,5352,-1,0.0,0.0,523,-9
1256,0,6059,-1,0.0,0.0,999,-9
